Year,Population, GDP ,CPI,Sentiment,SP500,MinimumWage,Households,MedianHousePrice,IncomePct20,IncomePct40,IncomePct60,IncomePct80,IncomePct95,PresidentParty
2015,324607776," 18,295.02 ",237, 92.90 ,2043.94,7.25,125819,289200,22800,43511,72001,117002,214462,Democrat
2016,327210198," 18,804.91 ",240, 91.90 ,2238.83,7.25,126224,299800,24002,45600,74869,121018,225251,Democrat
2017,329791231," 19,612.10 ",245.1, 96.80 ,2673.61,7.25,127586,313100,24638,47110,77552,126855,237034,Republican
2018,332140037," 20,656.52 ",251.1, 98.40 ,2506.85,7.25,128579,331800,25600,50000,79542,130000,248728,Republican
2019,334319671," 21,521.40 ",255.7, 96.00 ,3230.78,7.25,128451,313000,28084,53503,86488,142501,270002,Republican
2020,335942003," 21,322.95 ",258.8, 81.60 ,3756.07,7.25,129244,329000,27271,52588,85540,141990,275000,Republican
2021,336997624," 23,594.03 ",271, 77.60 ,4766.18,7.25,131202,355000,28007,55000,89744,149131,286304,Democrat
2022,338289857," 25,744.11 ",292.7, 59.00 ,3839.5,7.25,"131,400",413500,"30,000","58,020","94,000","153,000","295,000",Democrat
2023,339996563," 27,360.94 ",304.7, 65.30 ,4769.83,7.25,"132,200",429000,"33,000","62,200","101,000","165,300","316,100",Democrat
2024,341814420,,314.4, 72.50 ,5881.63,7.25,"134,800",426800,"34,510","65,100","105,500","175,700","335,700",Democrat
