formatted_date,date,high,low,open,close,volume,adjclose
2025-01-02,1735828200,92.66000366210938,91.41000366210938,91.55000305175781,92.16999816894531,8640900,89.78624725341797
2025-01-03,1735914600,93.12000274658203,91.80000305175781,92.4000015258789,92.58000183105469,4964900,90.18565368652344
2025-01-06,1736173800,94.5,91.94000244140625,92.04000091552734,93.12999725341797,8768100,90.7214126586914
2025-01-07,1736260200,93.6500015258789,91.86000061035156,92.77999877929688,92.83999633789062,6638300,90.43891143798828
2025-01-08,1736346600,93.01000213623047,92.01000213623047,92.97000122070312,92.5999984741211,6243700,90.20512390136719
2025-01-10,1736519400,92.79000091552734,91.93000030517578,92.19000244140625,92.25,6550300,89.86417388916016
2025-01-13,1736778600,93.58999633789062,91.37999725341797,92.2699966430664,93.51000213623047,6912100,91.09159851074219
2025-01-14,1736865000,94.88999938964844,92.5199966430664,94.01000213623047,93.06999969482422,6406200,90.66297149658203
2025-01-15,1736951400,94.47000122070312,92.94999694824219,94.0999984741211,93.08000183105469,4554700,90.67271423339844
2025-01-16,1737037800,94.7699966430664,92.87000274658203,92.87000274658203,94.43000030517578,6548200,91.98780059814453
2025-01-17,1737124200,95.86000061035156,95.0999984741211,95.58000183105469,95.12999725341797,8361900,92.66968536376953
2025-01-21,1737469800,98.58000183105469,95.41000366210938,95.41000366210938,97.9800033569336,8803100,95.44598388671875
2025-01-22,1737556200,98.54000091552734,97.45999908447266,97.9800033569336,97.7300033569336,7678900,95.20245361328125
2025-01-23,1737642600,98.02999877929688,97.0199966430664,98.0,97.98999786376953,7901800,95.45572662353516
2025-01-24,1737729000,99.01000213623047,97.62000274658203,97.79000091552734,98.80999755859375,6957100,96.2545166015625
2025-01-27,1737988200,100.33000183105469,98.0999984741211,98.5199966430664,100.0199966430664,9654900,97.43321990966797
2025-01-28,1738074600,100.68000030517578,98.58999633789062,98.94000244140625,100.41000366210938,14736500,97.8131332397461
2025-01-29,1738161000,110.08000183105469,102.68000030517578,102.69999694824219,108.58000183105469,40769300,105.77184295654297
2025-01-30,1738247400,110.33999633789062,108.02999877929688,109.0,109.0,15023000,106.18097686767578
2025-01-31,1738333800,109.36000061035156,107.5,109.0,107.68000030517578,19136900,104.8951187133789
